data,total
16/08/2024 17:21,44
16/08/2024 17:26,12.1
16/08/2024 17:27,55
16/08/2024 17:37,17.6
16/08/2024 17:39,31.9
16/08/2024 18:09,32
16/08/2024 18:12,58.3
16/08/2024 18:13,15.4
16/08/2024 18:14,61.6
16/08/2024 18:14,36.3
16/08/2024 18:19,34.1
16/08/2024 18:25,37.4
16/08/2024 18:42,36.08
16/08/2024 19:24,33
16/08/2024 19:56,92.4
16/08/2024 20:13,33.99
16/08/2024 20:50,25
17/08/2024 07:29,18.7
17/08/2024 08:02,27.39
17/08/2024 08:09,8.8
17/08/2024 08:21,25.3
17/08/2024 08:28,29.7
17/08/2024 08:28,71.5
17/08/2024 08:31,94.49
17/08/2024 08:31,58.3
17/08/2024 08:51,78.98
17/08/2024 08:55,21.78
17/08/2024 09:08,41.8
17/08/2024 09:14,51.59
17/08/2024 09:14,23.1
17/08/2024 09:15,83.38
17/08/2024 09:16,32.78
17/08/2024 09:33,14.3
17/08/2024 09:37,24.09
17/08/2024 09:45,70.4
17/08/2024 09:48,20.79
17/08/2024 09:56,61.38
17/08/2024 10:05,71.5
17/08/2024 10:05,41.58
17/08/2024 10:09,25.3
17/08/2024 10:32,25.3
17/08/2024 10:33,20.9
17/08/2024 10:46,49.5
17/08/2024 10:56,18.7
17/08/2024 11:05,58.3
17/08/2024 11:32,52
17/08/2024 11:32,74.8
17/08/2024 11:57,17.6
17/08/2024 11:58,83.6
17/08/2024 12:58,25.3
17/08/2024 13:15,13.2
17/08/2024 16:04,62.8
17/08/2024 16:28,16.5
17/08/2024 17:07,12.1
17/08/2024 18:05,42.9
17/08/2024 18:06,25.19
17/08/2024 18:12,45.1
17/08/2024 18:13,42.9
17/08/2024 18:27,64.9
17/08/2024 19:25,38.5
18/08/2024 07:28,60.28
18/08/2024 08:10,72.6
18/08/2024 09:46,23.1
18/08/2024 09:54,16.5
18/08/2024 09:56,17.49
18/08/2024 10:09,8.8
18/08/2024 10:09,98.67
18/08/2024 10:32,48.4
18/08/2024 10:32,50.49
18/08/2024 10:34,124.19
18/08/2024 10:38,96.47
18/08/2024 10:39,3.3
18/08/2024 11:01,32.78
18/08/2024 11:02,61.6
18/08/2024 11:26,31.68
20/08/2024 07:52,66
20/08/2024 07:59,20.9
20/08/2024 08:48,8.8
20/08/2024 09:08,19.8
20/08/2024 09:10,29.7
20/08/2024 09:17,25.3
20/08/2024 09:28,27.5
20/08/2024 09:32,8.8
20/08/2024 09:55,17.6
20/08/2024 10:19,18.59
20/08/2024 10:37,19.8
20/08/2024 11:09,28.49
20/08/2024 14:48,26.4
20/08/2024 15:16,25.3
20/08/2024 15:37,18
20/08/2024 16:15,22
20/08/2024 16:27,90.2
20/08/2024 16:42,28
20/08/2024 16:45,16.5
20/08/2024 17:01,94.6
20/08/2024 17:12,27.5
20/08/2024 17:12,23.1
20/08/2024 17:13,38.5
20/08/2024 17:14,39.6
20/08/2024 17:18,42.9
20/08/2024 17:26,38.5
20/08/2024 17:29,30.8
20/08/2024 17:57,66
20/08/2024 18:01,27.5
20/08/2024 18:14,25.3
20/08/2024 18:15,27.5
20/08/2024 18:19,18.7
20/08/2024 18:56,37.4
20/08/2024 18:56,37.4
20/08/2024 19:01,75.9
20/08/2024 19:26,30.8
21/08/2024 07:48,56.1
21/08/2024 08:13,8.8
21/08/2024 08:47,33
21/08/2024 09:06,41.8
21/08/2024 09:06,18.7
21/08/2024 09:07,33
21/08/2024 09:13,25.19
